CH1_FREQ [Hz], CH1_AMPL [Vpp], CH2_FREQ [Hz], CH2_AMPL [Vpp], PHASE_DIFF [Deg], GAIN [dB]
9.995, 9.9e+37, 10.006, 1.79, 174.61, -754.8556432723531
60.337, 1.07, 60.404, 1.77, 170.07, 4.371789773531939
110.698, 1.07, 110.694, 1.73, 161.67, 4.173246508871714
161.08, 1.07, 161.36, 1.65, 155.51, 3.7620033305739318
211.76, 1.09, 211.48, 1.59, 151.19, 3.2794125275965564
262.13, 1.07, 262.16, 1.51, 143.05, 2.991863392159195
312.27, 1.07, 312.47, 1.43, 138.57, 2.5190451955970423
362.76, 1.07, 362.87, 1.35, 134.21, 2.0189998161959295
413.17, 1.07, 412.72, 1.25, 130.36, 1.3505247064569357
463.37, 1.07, 463.8, 1.19, 127.51, 0.9232636741464207
514.15, 1.07, 513.26, 1.11, 124.15, 0.3187840220289559
564.64, 1.09, 565.15, 1.05, 125.85, -0.32474397741371125
614.22, 1.09, 614.4, 0.98, 121.1, -0.9240084449625762
666.7, 1.07, 664.65, 0.94, 117.26, -1.1251184817102209
717.03, 1.07, 717.2, 0.9, 115.34, -1.5028253649176957
766.12, 1.07, 766.87, 0.86, 112.99, -1.8977065288328387
815.45, 1.07, 816.51, 0.82, 112.57, -2.3113985060298607
866.61, 1.09, 867.57, 0.78, 112.61, -2.9066379050028655
917.04, 1.07, 917.31, 0.74, 111.18, -3.2030411590846692
966.56, 1.07, 966.86, 0.72, 110.69, -3.441025625078824
1018.08, 1.09, 1018.35, 0.68, 111.25, -4.098351704687746
1069.25, 1.07, 1065.97, 0.64, 108.83, -4.46407607402645
1118.47, 1.07, 1116.79, 0.64, 106.98, -4.46407607402645
1169.19, 1.07, 1170.19, 0.6, 106.42, -5.024650546031321
1218.61, 1.09, 1218.66, 0.6, 107.65, -5.185504951139601
1269.04, 1.09, 1268.83, 0.58, 107.49, -5.4799700875537285
1320.13, 1.09, 1319.96, 0.56, 106.97, -5.784769418688463
1370.43, 1.07, 1370.79, 0.54, 101.1, -5.939800357244822
1424.47, 1.09, 1417.3, 0.54, 103.76, -6.100654762353103
1470.87, 1.09, 1469.76, 0.52, 106.97, -6.428463086116491
1523.9, 1.09, 1520.5, 0.5, 101.98, -6.769129872092097
1572.2, 1.09, 1573.5, 0.48, 104.07, -7.123705211300729
1619.8, 1.09, 1623.5, 0.48, 103.02, -7.123705211300729
1671.8, 1.09, 1670.0, 0.46, 103.5, -7.4933733251809915
1722.3, 1.09, 1725.4, 0.44, 102.42, -7.879476429088724
1776.5, 1.09, 1770.6, 0.44, 102.87, -7.879476429088724
1824.6, 1.07, 1821.04, 0.44, 100.16, -7.718622023980445
1876.65, 1.07, 1874.01, 0.44, 99.1, -7.718622023980445
1924.85, 1.07, 1922.84, 0.4, 97.95, -8.546475727144946
1976.97, 1.09, 1982.11, 0.4, 100.05, -8.707330132253224
2021.87, 1.09, 2029.62, 0.4, 99.65, -8.707330132253224
2079.17, 1.07, 2073.66, 0.4, 98.54, -8.546475727144946
2128.7, 1.09, 2125.3, 0.38, 100.3, -9.15285802647627
2180.5, 1.07, 2183.4, 0.36, 97.44, -9.461625538358447
2226.4, 1.07, 2233.7, 0.36, 96.55, -9.461625538358447
2276.6, 1.09, 2278.9, 0.36, 98.33, -9.622479943466729
2331.2, 1.09, 2333.7, 0.36, 99.81, -9.622479943466729
2375.9, 1.07, 2386.6, 0.34, 96.24, -9.95809721285909
2431.1, 1.09, 2426.3, 0.34, 95.23, -10.118951617967369
